,MP,G,PTS,AST,TwoPA,FGA,WS,All_NBA
58,4658.0,256.0,1316.0,228.0,803.0,1212.0,2.4999999999999996,0
59,19383.0,859.0,6557.0,2887.0,3921.0,5064.0,46.7,0
60,23623.0,799.0,8251.0,941.0,6522.0,6544.0,53.800000000000004,0
61,27547.0,991.0,12089.0,1284.0,9975.0,10035.0,69.2,1
62,10942.0,406.0,4867.0,457.0,3838.0,3847.0,25.4,0
63,4150.0,295.0,1544.0,157.0,1182.0,1189.0,11.7,0
64,19395.0,684.0,7755.0,1328.0,4199.0,6244.0,32.7,0
65,11375.0,470.0,5629.0,964.0,3745.0,4160.0,47.1,0
66,11457.0,656.0,4471.0,624.0,2392.0,3650.0,27.700000000000003,0
67,3483.0,235.0,1289.0,180.0,755.0,1185.0,4.0,0
68,7066.0,312.0,2680.0,658.0,1635.0,2385.0,4.699999999999999,0
69,11619.0,413.0,5008.0,702.0,3157.0,4578.0,14.499999999999998,0
70,19041.0,647.0,6303.0,4093.0,5320.0,5449.0,43.4,0
71,7392.0,312.0,3053.0,1020.0,1750.0,2371.0,19.499999999999996,0
72,26335.0,764.0,12350.0,5493.0,7197.0,10987.0,58.4,1
73,20366.0,744.0,11084.0,1868.0,6171.0,9092.0,33.400000000000006,0
74,7476.0,293.0,2742.0,352.0,1341.0,2384.0,3.9999999999999996,0
75,30458.0,1038.0,5999.0,1345.0,5103.0,5150.0,91.10000000000001,5
76,16291.0,725.0,6358.0,2520.0,4160.0,5372.0,29.300000000000004,0
77,3779.0,298.0,1343.0,165.0,1258.0,1266.0,7.699999999999999,0
78,9657.0,336.0,3598.0,917.0,2948.0,3156.0,13.599999999999998,0
79,11781.0,482.0,3638.0,1897.0,2893.0,3407.0,13.9,0
80,9557.0,447.0,2176.0,189.0,1580.0,1581.0,18.0,0
81,7352.0,264.0,3364.0,352.0,2623.0,2633.0,15.8,0
82,16567.0,471.0,10117.0,1954.0,7279.0,7547.0,62.3,4
83,6970.0,279.0,2690.0,604.0,1916.0,2423.0,4.800000000000001,0
84,19709.0,867.0,4679.0,1400.0,3310.0,3346.0,48.30000000000001,0
85,14890.0,604.0,5455.0,2385.0,3188.0,4455.0,26.200000000000003,0
86,3213.0,223.0,776.0,668.0,542.0,754.0,-0.19999999999999996,0
87,15899.0,709.0,7019.0,1869.0,4502.0,6305.0,29.7,0
88,11691.0,354.0,4431.0,1099.0,2933.0,3792.0,23.8,0
